"","PD","SR","cellid"
"9650",214.4669065753,1,"9650"
"9651",214.4669065753,1,"9651"
"9652",214.4669065753,1,"9652"
"9653",428.9338141426,2,"9653"
"9654",214.4669065753,1,"9654"
"9655",214.4669065753,1,"9655"
"9656",214.4669065753,1,"9656"
"9657",214.4669065753,1,"9657"
"9658",214.4669065753,1,"9658"
"9659",214.4669065753,1,"9659"
"9660",2131.29898748418,19,"9660"
"9670",1481.84027648618,11,"9670"
"9671",1005.3562897424,7,"9671"
"9672",214.4669065753,1,"9672"
"9673",214.4669065753,1,"9673"
"9674",693.7618926025,5,"9674"
"9675",214.4669065753,1,"9675"
"9676",214.4669065753,1,"9676"
"9677",214.4669065753,1,"9677"
"9712",214.4669065753,1,"9712"
"9713",214.4669065753,1,"9713"
"9714",214.4669065753,1,"9714"
"9715",214.4669065753,1,"9715"
"9716",214.4669065753,1,"9716"
"9717",214.4669065753,1,"9717"
"9718",214.4669065753,1,"9718"
"9719",214.4669065753,1,"9719"
"9720",214.4669065753,1,"9720"
"9721",323.3194466453,2,"9721"
"9722",214.4669065753,1,"9722"
"9723",214.4669065753,1,"9723"
"9724",214.4669065753,1,"9724"
"9725",214.4669065753,1,"9725"
"9726",214.4669065753,1,"9726"
"9727",214.4669065753,1,"9727"
"9730",214.466907591,1,"9730"
"9738",214.466908577,1,"9738"
"9740",428.93381516317,2,"9740"
"9741",214.466908587,1,"9741"
"9742",214.466906576,1,"9742"
"9743",295.353211877,5,"9743"
"9744",295.353211877,5,"9744"
"9745",278.546344437,4,"9745"
"9747",2594.1599449662,27,"9747"
"9748",214.4669065753,1,"9748"
"9764",1577.80908225525,16,"9764"
"9768",841.2275123073,5,"9768"
"9769",2304.70485115385,23,"9769"
"9770",217.2961496253,2,"9770"
"9771",217.2961496253,2,"9771"
"9772",772.7510546784,5,"9772"
"9773",214.4669065753,1,"9773"
"9774",214.4669065753,1,"9774"
"9775",214.4669065753,1,"9775"
"9776",214.4669065753,1,"9776"
"9777",214.4669065753,1,"9777"
"9778",214.4669065753,1,"9778"
"9779",214.4669065753,1,"9779"
"9780",214.4669065753,1,"9780"
"9781",214.4669065753,1,"9781"
"9782",214.4669065753,1,"9782"
"9783",428.9338141426,2,"9783"
"9784",214.4669065753,1,"9784"
"9785",214.4669065753,1,"9785"
"9786",214.4669065753,1,"9786"
"9787",214.4669065753,1,"9787"
"9788",214.4669065753,1,"9788"
"9789",214.4669065753,1,"9789"
"9790",3141.91350827828,32,"9790"
"9801",3354.40596294658,36,"9801"
"9802",214.4669065753,1,"9802"
"9803",214.4669065753,1,"9803"
"9804",214.4669065753,1,"9804"
"9805",532.8208546332,3,"9805"
"9806",214.4669065753,1,"9806"
"9807",214.4669065753,1,"9807"
"9808",214.4669065753,1,"9808"
"9843",214.4669065753,1,"9843"
"9844",214.4669065753,1,"9844"
"9845",214.4669065753,1,"9845"
"9846",214.4669065753,1,"9846"
"9847",214.4669065753,1,"9847"
"9848",214.4669065753,1,"9848"
"9849",217.2961496253,2,"9849"
"9850",217.2961496253,2,"9850"
"9851",214.4669065753,1,"9851"
"9852",323.3194466453,2,"9852"
"9853",214.4669065753,1,"9853"
"9854",214.4669065753,1,"9854"
"9855",214.4669065753,1,"9855"
"9856",323.3194466453,2,"9856"
"9857",323.3194466453,2,"9857"
"9858",214.4669065753,1,"9858"
"9859",214.4669065753,1,"9859"
"9862",214.466907591,1,"9862"
"9870",214.466908577,1,"9870"
"9872",1172.01944646497,10,"9872"
"9874",295.353211877,5,"9874"
"9875",295.353211877,5,"9875"
"9876",295.353211877,5,"9876"
"9878",2270.0538062668,24,"9878"
"9879",1996.7252978364,17,"9879"
"9880",214.4669065753,1,"9880"
"9881",214.4669065753,1,"9881"
"9895",1728.10907525512,20,"9895"
"9900",2949.33932310143,30,"9900"
"9901",1143.53831527565,8,"9901"
"9902",431.763057199,3,"9902"
"9903",1215.3746581774,10,"9903"
"9904",1212.5454151274,9,"9904"
"9905",214.4669065753,1,"9905"
"9906",214.4669065753,1,"9906"
"9907",214.4669065753,1,"9907"
"9908",214.4669065753,1,"9908"
"9909",214.4669065753,1,"9909"
"9910",214.4669065753,1,"9910"
"9911",214.4669065753,1,"9911"
"9912",214.4669065753,1,"9912"
"9913",214.4669065753,1,"9913"
"9914",214.4669065753,1,"9914"
"9915",428.9338141426,2,"9915"
"9916",214.4669065753,1,"9916"
"9917",214.4669065753,1,"9917"
"9918",214.4669065753,1,"9918"
"9919",214.4669065753,1,"9919"
"9920",214.4669065753,1,"9920"
"9921",1881.0430613792,16,"9921"
"9922",2588.37996989808,25,"9922"
"9932",2444.8302399623,23,"9932"
"9933",217.2961496253,2,"9933"
"9934",217.2961496253,2,"9934"
"9935",214.4669065753,1,"9935"
"9936",428.9338141432,2,"9936"
"9937",214.4669065753,1,"9937"
"9938",214.4669065753,1,"9938"
"9939",214.4669065753,1,"9939"
"9974",214.4669065753,1,"9974"
"9975",217.2961496253,2,"9975"
"9976",217.2961496253,2,"9976"
"9977",217.2961496253,2,"9977"
"9978",217.2961496253,2,"9978"
"9979",217.2961496253,2,"9979"
"9980",217.2961496253,2,"9980"
"9981",217.2961496253,2,"9981"
"9982",326.1486896953,3,"9982"
"9983",214.4669065753,1,"9983"
"9984",214.4669065753,1,"9984"
"9985",214.4669065753,1,"9985"
"9986",214.4669065753,1,"9986"
"9987",323.3194466453,2,"9987"
"9988",323.3194466453,2,"9988"
"9989",214.4669065753,1,"9989"
"9990",214.4669065753,1,"9990"
"10000",214.466908577,1,"10000"
"10003",428.9338161542,2,"10003"
"10004",214.466906576,1,"10004"
"10005",295.353211877,5,"10005"
