"","PD","SR","cellid"
"6342",281.82917092,1,"6342"
"6343",281.82917092,1,"6343"
"6344",281.82917092,1,"6344"
"6345",281.82917092,1,"6345"
"6346",281.82917092,1,"6346"
"6347",281.82917092,1,"6347"
"6348",281.82917092,1,"6348"
"6349",281.82917092,1,"6349"
"6350",281.82917092,1,"6350"
"6351",281.82917092,1,"6351"
"6374",281.82917092,1,"6374"
"6375",281.82917092,1,"6375"
"6376",281.82917092,1,"6376"
"6377",281.82917092,1,"6377"
"6378",281.82917092,1,"6378"
"6379",281.82917092,1,"6379"
"6380",281.82917092,1,"6380"
"6381",281.82917092,1,"6381"
"6382",281.82917092,1,"6382"
"6383",281.82917092,1,"6383"
"6384",281.82917092,1,"6384"
"6385",281.82917092,1,"6385"
"6386",281.82917092,1,"6386"
"6387",281.82917092,1,"6387"
"6388",281.82917092,1,"6388"
"6389",281.82917092,1,"6389"
"6390",281.82917092,1,"6390"
"6391",281.82917092,1,"6391"
"6392",489.60360155,2,"6392"
"6393",771.43277248,3,"6393"
"6394",771.43277248,3,"6394"
"6395",838.005584686,4,"6395"
"6396",1014.1835796863,5,"6396"
"6397",838.005584686,4,"6397"
"6398",1185.7506580533,6,"6398"
"6399",1679.0346694343,10,"6399"
"6400",1545.1455066733,9,"6400"
"6401",838.005584686,4,"6401"
"6402",838.005584686,4,"6402"
"6437",838.005584686,4,"6437"
"6438",771.43277248,3,"6438"
"6439",771.43277248,3,"6439"
"6440",771.43277248,3,"6440"
"6441",563.65834185,2,"6441"
"6442",281.82917092,1,"6442"
"6443",281.82917092,1,"6443"
"6444",281.82917092,1,"6444"
"6445",281.82917092,1,"6445"
"6446",281.82917092,1,"6446"
"6447",281.82917092,1,"6447"
"6448",281.82917092,1,"6448"
"6449",281.82917092,1,"6449"
"6450",281.82917092,1,"6450"
"6451",281.82917092,1,"6451"
"6452",281.82917092,1,"6452"
"6453",281.82917092,1,"6453"
"6454",281.82917092,1,"6454"
"6455",281.82917092,1,"6455"
"6456",281.82917092,1,"6456"
"6457",281.82917092,1,"6457"
"6458",281.82917092,1,"6458"
"6459",281.82917092,1,"6459"
"6460",281.82917092,1,"6460"
"6461",281.82917092,1,"6461"
"6462",281.82917092,1,"6462"
"6463",281.82917092,1,"6463"
"6464",413.10888926,2,"6464"
"6465",1603.24401433,9,"6465"
"6466",1964.0350950512,11,"6466"
"6467",2080.4733519402,12,"6467"
"6468",2080.4733529222,12,"6468"
"6469",1301.271647681,7,"6469"
"6470",862.389432856,5,"6470"
"6471",513.98744976,3,"6471"
"6472",281.82917092,1,"6472"
"6473",281.82917092,1,"6473"
"6474",281.82917092,1,"6474"
"6475",281.82917092,1,"6475"
"6476",281.82917092,1,"6476"
"6477",281.82917092,1,"6477"
"6478",281.82917092,1,"6478"
"6479",281.82917092,1,"6479"
"6480",281.82917092,1,"6480"
"6481",281.82917092,1,"6481"
"6482",281.82917092,1,"6482"
"6483",281.82917092,1,"6483"
"6484",281.82917092,1,"6484"
"6506",281.82917092,1,"6506"
"6507",281.82917092,1,"6507"
"6508",281.82917092,1,"6508"
"6509",281.82917092,1,"6509"
"6510",281.82917092,1,"6510"
"6511",281.82917092,1,"6511"
"6512",281.82917092,1,"6512"
"6513",281.82917092,1,"6513"
"6514",281.82917092,1,"6514"
"6515",281.82917092,1,"6515"
"6516",281.82917092,1,"6516"
"6517",281.82917092,1,"6517"
"6518",281.82917092,1,"6518"
"6519",281.82917092,1,"6519"
"6520",281.82917092,1,"6520"
"6521",281.82917092,1,"6521"
"6522",489.60360155,2,"6522"
"6523",489.60360155,2,"6523"
"6524",771.43277248,3,"6524"
